GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Minimal DI,fi.eis.libraries.di.context.configclass,ConfigurationClassContext,11,199,0,10,4,32,1,10,1,5
Minimal DI,fi.eis.libraries.di,DependencyInjection,19,80,0,2,4,11,4,9,4,8
Minimal DI,fi.eis.libraries.di.logger,SimpleLogger.LoggingBackend,0,24,0,0,0,3,0,1,0,1
Minimal DI,fi.eis.libraries.di.logger,LogLevel,0,34,0,0,0,2,0,1,0,1
Minimal DI,fi.eis.libraries.di.logger,SimpleLogger,7,153,4,16,2,35,4,16,0,10
Minimal DI,fi.eis.libraries.di.context,Context,24,143,4,8,4,29,4,6,0,4
Minimal DI,fi.eis.libraries.di.context,Module,44,332,4,24,6,54,4,22,0,12
Minimal DI,fi.eis.libraries.di.context.deployment,BeanArchive,68,296,1,21,12,61,2,23,1,13
Minimal DI,fi.eis.libraries.di.context.deployment,DeploymentUnitContext,17,68,0,0,5,16,1,4,1,4
Minimal DI,fi.eis.libraries.di.context.deployment,DirectoryEntry,5,19,0,0,1,7,1,5,1,5
Minimal DI,fi.eis.libraries.di.context.deployment,ZipFileEntry,14,14,0,0,1,6,1,3,1,3
